Horizon (mo),MAPE,DirAcc,Price Range (USD),Confidence
1,0.24714486697337784,0.6,48570.90015113726,Red
2,0.47109327969868847,0.45454545454545453,76564.34577706798,Red
3,0.41569847353307954,0.5757575757575758,99387.2763973821,Red
4,0.39786428854651074,0.6190476190476191,129684.1179313606,Red
5,0.5469509615743984,0.5806451612903226,146530.61202687584,Red
6,0.7636844519031741,0.6129032258064516,189065.23248125974,Red
7,1.1889333957274264,0.6,225209.79952210738,Red
8,1.577795790081129,0.7666666666666667,240404.09340780828,Red
9,2.3639776813778997,0.6,283211.1009433838,Red
10,3.1520048475185307,0.7,301767.21622740675,Red
11,11.957978218113242,0.625,356687.1008812568,Red
12,60.88426489323864,0.625,357587.16691891255,Red
